H-L,H-M,L-H,L-M,M-H,M-L,countries
68,652,68,669,652,669,Total
0,0,0,0,0,0,Northern Ireland
0,0,1,1,0,2,Wales
0,1,0,6,4,5,Scotland
0,7,1,19,13,9,England
0,0,0,0,0,0,Romania
0,0,0,2,1,1,Mexico
0,0,0,1,0,0,Laos
0,0,0,0,0,1,Ukraine
7,24,7,53,37,84,Canada
0,0,0,0,0,0,Portugal
0,0,0,0,0,1,India
0,0,0,0,0,0,Puerto Rico
0,0,1,3,2,2,Japan
0,0,0,0,0,1,Hungary
0,0,0,0,0,0,Bulgaria
0,0,0,0,0,0,Croatia
0,0,0,0,1,0,Lithuania
0,3,1,11,8,4,Italy
0,0,0,0,0,0,Turks and Caicos Islands
0,4,2,3,7,1,Denmark
0,0,0,0,0,2,French Polynesia
0,0,0,1,0,1,Greece
3,10,6,21,7,20,Germany
0,0,0,0,0,0,Mozambique
1,0,2,0,2,5,Switzerland
0,1,0,1,0,1,Malta
0,0,0,1,1,0,Israel
0,0,0,1,0,0,Chile
0,0,0,1,0,2,Trinidad & Tobago
0,0,0,0,0,0,Russia
0,0,0,0,1,0,Vietnam
0,0,0,2,0,1,Cayman Islands
2,4,4,19,14,20,Australia
0,0,0,0,1,0,Argentina
0,0,0,0,0,1,Luxembourg
0,0,0,3,0,0,Spain
1,0,1,4,3,3,Austria
0,1,0,1,1,1,Brazil
0,0,0,0,0,0,Taiwan
0,0,0,0,0,0,Turkey
0,0,0,1,0,2,South Africa
0,0,0,1,0,0,Czech Republic
1,5,1,12,1,7,Netherlands
0,0,0,0,0,1,Peru
1,0,1,5,9,3,New Zealand
0,0,0,0,0,0,Serbia
0,0,0,0,0,0,Latvia
0,0,0,1,0,0,Finland
0,10,0,3,6,3,Sweden
0,0,0,1,1,1,Poland
0,1,0,0,0,0,Ireland
0,0,0,0,0,0,Myanmar
0,1,0,2,3,2,Norway
46,544,38,449,493,445,United States
0,0,0,0,0,2,Costa Rica
0,0,0,0,0,0,North Korea
0,0,0,0,0,0,Virgin Islands (U.S.)
0,1,0,2,0,0,Iceland
5,30,2,36,31,28,Belgium
0,0,0,0,0,1,Bahamas
1,3,0,2,4,6,France
0,2,0,0,1,0,Estonia
